Time,Gaze Origin,Gaze Direction,Fixation Point,Confidence Value,ClickPoint,
2023.10.14-15.48.36.739,X=420673.195 Y=369012.219 Z=2403.099,X=-0.279 Y=-0.745 Z=0.605,X=0.000 Y=0.000 Z=0.000,1.0,X=420285.203 Y=367858.856 Z=3280.517,
2023.10.14-15.48.36.787,X=420673.144 Y=369012.275 Z=2403.124,X=-0.282 Y=-0.743 Z=0.608,X=0.000 Y=0.000 Z=0.000,1.0,X=420280.534 Y=367860.180 Z=3286.193,
2023.10.14-15.48.36.830,X=420673.103 Y=369012.334 Z=2403.158,X=-0.284 Y=-0.742 Z=0.608,X=0.000 Y=0.000 Z=0.000,1.0,X=420277.443 Y=367860.515 Z=3287.628,
2023.10.14-15.48.36.877,X=420673.067 Y=369012.408 Z=2403.165,X=-0.283 Y=-0.741 Z=0.609,X=0.000 Y=0.000 Z=0.000,1.0,X=420277.910 Y=367861.079 Z=3290.046,
2023.10.14-15.48.36.928,X=420673.036 Y=369012.471 Z=2403.200,X=-0.286 Y=-0.743 Z=0.606,X=0.000 Y=0.000 Z=0.000,1.0,X=420274.927 Y=367859.614 Z=3283.764,
2023.10.14-15.48.36.975,X=420673.005 Y=369012.536 Z=2403.213,X=-0.285 Y=-0.746 Z=0.602,X=0.000 Y=0.000 Z=0.000,1.0,X=420277.635 Y=367857.942 Z=3276.599,
2023.10.14-15.48.37.024,X=420672.989 Y=369012.584 Z=2403.231,X=-0.283 Y=-0.750 Z=0.597,X=0.000 Y=0.000 Z=0.000,1.0,X=420280.813 Y=367855.386 Z=3265.645,
2023.10.14-15.48.37.071,X=420672.977 Y=369012.638 Z=2403.240,X=-0.282 Y=-0.752 Z=0.596,X=0.000 Y=0.000 Z=0.000,1.0,X=420283.339 Y=367854.786 Z=3263.073,
2023.10.14-15.48.37.116,X=420672.932 Y=369012.742 Z=2403.266,X=-0.283 Y=-0.754 Z=0.593,X=0.000 Y=0.000 Z=0.000,1.0,X=420282.674 Y=367853.560 Z=3257.814,
2023.10.14-15.48.37.162,X=420672.901 Y=369012.823 Z=2403.268,X=-0.283 Y=-0.752 Z=0.595,X=0.000 Y=0.000 Z=0.000,1.0,X=420281.853 Y=367854.277 Z=3260.890,
2023.10.14-15.48.37.213,X=420672.870 Y=369012.901 Z=2403.307,X=-0.282 Y=-0.752 Z=0.596,X=0.000 Y=0.000 Z=0.000,1.0,X=420283.292 Y=367854.802 Z=3263.141,
2023.10.14-15.48.37.260,X=420672.850 Y=369012.931 Z=2403.328,X=-0.278 Y=-0.752 Z=0.598,X=0.000 Y=0.000 Z=0.000,1.0,X=420288.758 Y=367855.325 Z=3265.381,
2023.10.14-15.48.37.307,X=420672.845 Y=369012.944 Z=2403.347,X=-0.278 Y=-0.756 Z=0.593,X=0.000 Y=0.000 Z=0.000,1.0,X=420290.487 Y=367853.144 Z=3256.035,
2023.10.14-15.48.37.351,X=420672.842 Y=369012.939 Z=2403.366,X=-0.274 Y=-0.756 Z=0.594,X=0.000 Y=0.000 Z=0.000,1.0,X=420297.084 Y=367853.182 Z=3256.194,
2023.10.14-15.48.37.402,X=420672.826 Y=369012.925 Z=2403.368,X=-0.271 Y=-0.760 Z=0.590,X=0.000 Y=0.000 Z=0.000,1.0,X=420302.157 Y=367851.182 Z=3247.622,
2023.10.14-15.48.37.451,X=420672.814 Y=369012.924 Z=2403.371,X=-0.271 Y=-0.763 Z=0.587,X=0.000 Y=0.000 Z=0.000,1.0,X=420303.862 Y=367849.653 Z=3241.069,
2023.10.14-15.48.37.498,X=420672.808 Y=369012.908 Z=2403.352,X=-0.271 Y=-0.766 Z=0.583,X=0.000 Y=0.000 Z=0.000,1.0,X=420303.926 Y=367848.019 Z=3234.063,
2023.10.14-15.48.37.549,X=420672.813 Y=369012.924 Z=2403.342,X=-0.276 Y=-0.773 Z=0.572,X=0.000 Y=0.000 Z=0.000,1.0,X=420299.342 Y=367843.426 Z=3214.378,
2023.10.14-15.48.37.597,X=420672.820 Y=369012.923 Z=2403.335,X=-0.275 Y=-0.779 Z=0.563,X=0.000 Y=0.000 Z=0.000,1.0,X=420301.438 Y=367839.568 Z=3197.839,
2023.10.14-15.48.37.647,X=420672.812 Y=369012.921 Z=2403.339,X=-0.278 Y=-0.785 Z=0.554,X=0.000 Y=0.000 Z=0.000,1.0,X=420299.698 Y=367836.092 Z=3182.942,
2023.10.14-15.48.37.693,X=420672.826 Y=369012.921 Z=2403.339,X=-0.279 Y=-0.788 Z=0.549,X=0.000 Y=0.000 Z=0.000,1.0,X=420298.336 Y=367833.847 Z=3173.318,
2023.10.14-15.48.37.741,X=420672.836 Y=369012.932 Z=2403.331,X=-0.281 Y=-0.791 Z=0.544,X=0.000 Y=0.000 Z=0.000,1.0,X=420296.141 Y=367831.971 Z=3165.273,
2023.10.14-15.48.37.791,X=420672.831 Y=369012.936 Z=2403.356,X=-0.284 Y=-0.795 Z=0.536,X=0.000 Y=0.000 Z=0.000,1.0,X=420293.256 Y=367829.054 Z=3152.770,
2023.10.14-15.48.37.858,X=420672.832 Y=369012.939 Z=2403.358,X=-0.287 Y=-0.798 Z=0.530,X=0.000 Y=0.000 Z=0.000,1.0,X=420290.223 Y=367826.798 Z=3143.103,
2023.10.14-15.48.37.886,X=420672.825 Y=369012.936 Z=2403.353,X=-0.286 Y=-0.797 Z=0.532,X=0.000 Y=0.000 Z=0.000,1.0,X=420291.330 Y=367827.462 Z=3145.946,
2023.10.14-15.48.37.931,X=420672.808 Y=369012.939 Z=2403.352,X=-0.285 Y=-0.796 Z=0.534,X=0.000 Y=0.000 Z=0.000,1.0,X=420291.740 Y=367828.294 Z=3149.515,
2023.10.14-15.48.37.979,X=420672.773 Y=369012.946 Z=2403.343,X=-0.288 Y=-0.795 Z=0.534,X=0.000 Y=0.000 Z=0.000,1.0,X=420288.168 Y=367828.452 Z=3150.189,
2023.10.14-15.48.38.025,X=420672.724 Y=369012.937 Z=2403.328,X=-0.293 Y=-0.796 Z=0.530,X=0.000 Y=0.000 Z=0.000,1.0,X=420281.285 Y=367827.145 Z=3144.590,
2023.10.14-15.48.38.070,X=420672.685 Y=369012.920 Z=2403.315,X=-0.295 Y=-0.800 Z=0.522,X=0.000 Y=0.000 Z=0.000,1.0,X=420278.318 Y=367824.033 Z=3131.250,
2023.10.14-15.48.38.117,X=420672.649 Y=369012.907 Z=2403.314,X=-0.293 Y=-0.805 Z=0.516,X=0.000 Y=0.000 Z=0.000,1.0,X=420282.532 Y=367821.534 Z=3120.537,
2023.10.14-15.48.38.886,X=420672.631 Y=369012.664 Z=2403.209,X=-0.271 Y=-0.814 Z=0.514,X=0.000 Y=0.000 Z=0.000,1.0,X=420317.297 Y=367819.107 Z=3110.135,
2023.10.14-15.48.38.935,X=420672.644 Y=369012.640 Z=2403.206,X=-0.263 Y=-0.807 Z=0.529,X=0.000 Y=0.000 Z=0.000,1.0,X=420326.838 Y=367824.611 Z=3133.726,
2023.10.14-15.48.38.983,X=420672.662 Y=369012.599 Z=2403.201,X=-0.258 Y=-0.801 Z=0.540,X=0.000 Y=0.000 Z=0.000,1.0,X=420332.202 Y=367828.942 Z=3152.290,
2023.10.14-15.48.39.031,X=420672.702 Y=369012.565 Z=2403.188,X=-0.255 Y=-0.796 Z=0.549,X=0.000 Y=0.000 Z=0.000,1.0,X=420335.809 Y=367832.302 Z=3166.693,
2023.10.14-15.48.39.080,X=420672.745 Y=369012.517 Z=2403.180,X=-0.250 Y=-0.792 Z=0.557,X=0.000 Y=0.000 Z=0.000,1.0,X=420342.167 Y=367835.206 Z=3179.141,
2023.10.14-15.48.39.124,X=420672.804 Y=369012.474 Z=2403.171,X=-0.247 Y=-0.791 Z=0.560,X=0.000 Y=0.000 Z=0.000,1.0,X=420346.633 Y=367836.175 Z=3183.295,
2023.10.14-15.48.39.171,X=420672.874 Y=369012.432 Z=2403.161,X=-0.233 Y=-0.790 Z=0.567,X=0.000 Y=0.000 Z=0.000,1.0,X=420365.772 Y=367838.405 Z=3192.854,
2023.10.14-15.48.39.219,X=420672.953 Y=369012.384 Z=2403.156,X=-0.221 Y=-0.787 Z=0.577,X=0.000 Y=0.000 Z=0.000,1.0,X=420382.323 Y=367841.929 Z=3207.959,
2023.10.14-15.48.39.270,X=420673.064 Y=369012.350 Z=2403.157,X=-0.211 Y=-0.785 Z=0.582,X=0.000 Y=0.000 Z=0.000,1.0,X=420395.733 Y=367843.650 Z=3215.336,
2023.10.14-15.48.39.317,X=420673.169 Y=369012.309 Z=2403.160,X=-0.205 Y=-0.785 Z=0.585,X=0.000 Y=0.000 Z=0.000,1.0,X=420404.540 Y=367844.425 Z=3218.659,
2023.10.14-15.48.39.366,X=420673.304 Y=369012.273 Z=2403.166,X=-0.197 Y=-0.786 Z=0.586,X=0.000 Y=0.000 Z=0.000,1.0,X=420416.353 Y=367844.732 Z=3219.975,
2023.10.14-15.48.39.416,X=420673.424 Y=369012.231 Z=2403.172,X=-0.189 Y=-0.785 Z=0.590,X=0.000 Y=0.000 Z=0.000,1.0,X=420426.813 Y=367845.918 Z=3225.057,
