Time,PlayerLocation,PlaterRotation,
2023.10.14-15.47.00.576,X=401620.933 Y=371623.754 Z=1414.941,P=1.679613 Y=37.015186 R=3.208166,
2023.10.14-15.47.00.633,X=401646.676 Y=371642.909 Z=1414.941,P=1.546941 Y=37.194393 R=3.150381,
2023.10.14-15.47.00.691,X=401672.104 Y=371662.006 Z=1414.941,P=1.423475 Y=37.412017 R=3.124266,
2023.10.14-15.47.00.748,X=401698.050 Y=371681.660 Z=1414.941,P=1.242192 Y=37.641038 R=3.087067,
2023.10.14-15.47.00.804,X=401723.308 Y=371700.950 Z=1414.941,P=1.100269 Y=37.895776 R=3.022806,
2023.10.14-15.47.00.861,X=401747.934 Y=371719.863 Z=1414.941,P=0.968733 Y=38.149478 R=2.962175,
2023.10.14-15.47.00.918,X=401766.415 Y=371734.154 Z=1414.941,P=0.797969 Y=38.404360 R=2.922472,
2023.10.14-15.47.00.974,X=401771.026 Y=371737.729 Z=1414.941,P=0.675231 Y=38.667306 R=2.862558,
2023.10.14-15.47.01.029,X=401771.026 Y=371737.729 Z=1414.941,P=0.571078 Y=38.927473 R=2.907666,
2023.10.14-15.47.01.079,X=401771.026 Y=371737.729 Z=1414.941,P=0.483533 Y=39.395982 R=2.809371,
2023.10.14-15.47.01.134,X=401771.026 Y=371737.729 Z=1414.941,P=0.384612 Y=40.154555 R=2.736602,
2023.10.14-15.47.01.183,X=401771.026 Y=371737.729 Z=1414.941,P=0.400977 Y=40.861291 R=2.701069,
2023.10.14-15.47.01.237,X=401771.026 Y=371737.729 Z=1414.941,P=0.462976 Y=41.700751 R=2.594811,
2023.10.14-15.47.01.293,X=401771.666 Y=371738.299 Z=1414.941,P=0.270902 Y=42.424667 R=2.668885,
2023.10.14-15.47.01.350,X=401775.673 Y=371741.947 Z=1414.941,P=0.413233 Y=42.922165 R=2.419245,
2023.10.14-15.47.01.406,X=401784.111 Y=371749.730 Z=1414.941,P=0.516998 Y=43.129055 R=2.412363,
2023.10.14-15.47.01.460,X=401797.563 Y=371762.246 Z=1414.941,P=0.542245 Y=43.195720 R=2.515610,
2023.10.14-15.47.01.515,X=401814.523 Y=371778.101 Z=1414.941,P=0.558801 Y=43.104395 R=2.424030,
